"Kazalnik vlaganja v razvoj, Slovenija, statistiène regije, letni podatki do 2014"

"KAZALNIK";"STATISTIÈNA REGIJA";"VIR FINANCIRANJA";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Zasavska";"Gospodarske družbe";97.9;97.8;92.7;94.1;98.0;96.1;85.1;77.4;81.8;97.0;65.2;85.3
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Zasavska";"Državni viri";2.1;2.2;5.9;4.6;1.5;3.5;14.8;22.3;15.5;2.6;33.9;14.5
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Zasavska";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Zasavska";"Viri iz tujine";0.0;0.0;1.3;1.3;0.5;0.4;0.1;0.3;2.8;0.4;0.9;0.2
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Posavska";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Posavska";"Gospodarske družbe";37.4;44.4;100.0;96.7;58.7;72.5;74.3;66.6;82.5;50.1;73.7;81.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Posavska";"Državni viri";62.4;55.6;0.0;2.8;3.9;3.4;2.3;16.6;4.3;7.6;6.3;4.5
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Posavska";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Posavska";"Viri iz tujine";0.0;0.0;0.0;0.5;37.3;24.2;23.4;16.8;13.1;42.2;20.0;14.5
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Jugovzhodna Slovenija";"Viri financiranja - SKUPAJ";100;100;100;100;100;100;100;100;100;100;100;100
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Jugovzhodna Slovenija";"Gospodarske družbe";91.4;95.8;98.8;98.6;98.5;97.6;94.9;94.3;95.4;91.7;91.4;92.5
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Jugovzhodna Slovenija";"Državni viri";1.5;1.3;1.0;1.4;1.5;0.8;3.0;3.3;2.4;4.2;3.3;2.5
"Delež izdatkov za raziskovalno-razvojno dejavnost v poslovnem sektorju po virih financiranja izdatkov [%]";"Jugovzhodna Slovenija";"Zasebne nepridobitne organizacije";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
