"LETO";"Delež kmetijskih gospodarstev z ekološkim kmetovanjem ali s kmetovanjem v preusmeritvi [%]";"Delež kmetijskih zemljišè v uporabi z ekološko pridelavo ali v preusmeritvi [%]"
"2004";2.1;4.7
"2005";2.2;4.6
"2006";2.4;5.5
"2007";2.7;5.9
"2008";2.7;6.1
"2009";2.8;6.3
"2010";3.0;6.4
"2011";3.2;7.0
"2012";3.6;7.3
"2013";4.2;8.1
"2014";4.6;8.6
"2015";4.7;8.8
