"Kazalniki ekološkega kmetijstva, Slovenija, letni podatki do 2015"

"KAZALNIK";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Delež kmetijskih gospodarstev z ekološkim kmetovanjem ali s kmetovanjem v preusmeritvi [%]";2.1;2.2;2.4;2.7;2.7;2.8;3.0;3.2;3.6;4.2;4.6;4.7
"Delež kmetijskih zemljišè v uporabi z ekološko pridelavo ali v preusmeritvi [%]";4.7;4.6;5.5;5.9;6.1;6.3;6.4;7.0;7.3;8.1;8.6;8.8
