"Kazalniki varnosti, Slovenija, statistiène regije, letni podatki do 2015"

"KAZALNIK";"STATISTIÈNA REGIJA";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Število študentov v terciarnem izobraževanju na 1.000 prebivalcev po regijah stalnega prebivališèa [število/1.000 prebivalcev]";"Osrednjeslovenska";...;...;61.2;58.1;57.0;52.8;50.3;48.5;44.7;41.6;39.2
"Število študentov v terciarnem izobraževanju na 1.000 prebivalcev po regijah stalnega prebivališèa [število/1.000 prebivalcev]";"Gorenjska";...;...;59.9;57.9;56.9;52.7;51.6;48.4;45.0;41.8;39.4
"Število študentov v terciarnem izobraževanju na 1.000 prebivalcev po regijah stalnega prebivališèa [število/1.000 prebivalcev]";"Primorsko-notranjska";...;...;58.5;57.2;56.8;51.4;50.5;46.4;42.6;38.9;36.5
"Število študentov v terciarnem izobraževanju na 1.000 prebivalcev po regijah stalnega prebivališèa [število/1.000 prebivalcev]";"Goriška";...;...;59.1;60.1;59.3;54.8;53.8;51.1;48.5;44.5;42.0
"Število študentov v terciarnem izobraževanju na 1.000 prebivalcev po regijah stalnega prebivališèa [število/1.000 prebivalcev]";"Obalno-kraška";...;...;52.1;50.6;49.8;43.4;40.7;39.8;35.5;33.3;31.5
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"SLOVENIJA";0.41;0.43;0.45;0.46;0.41;0.41;0.39;0.43;0.57;0.47;0.31
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Pomurska";0.44;0.53;0.61;0.59;0.49;0.49;0.46;0.52;0.59;0.48;0.36
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Podravska";0.41;0.46;0.49;0.56;0.57;0.52;0.50;0.53;0.62;0.51;0.36
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Koroška";0.55;0.45;0.41;0.44;0.41;0.42;0.40;0.47;0.55;0.33;0.27
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Savinjska";0.32;0.35;0.36;0.35;0.35;0.39;0.30;0.33;0.49;0.43;0.29
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Zasavska";0.43;0.30;0.52;0.50;0.46;0.52;0.46;0.42;0.66;0.45;0.18
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Posavska";0.40;0.50;0.59;0.55;0.37;0.38;0.30;0.43;0.42;0.40;0.31
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Jugovzhodna Slovenija";0.58;0.49;0.53;0.54;0.54;0.51;0.51;0.57;0.83;0.71;0.49
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Osrednjeslovenska";0.41;0.36;0.37;0.36;0.28;0.29;0.29;0.29;0.51;0.38;0.24
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Gorenjska";0.32;0.35;0.33;0.31;0.23;0.23;0.23;0.29;0.31;0.32;0.18
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Primorsko-notranjska";0.28;0.35;0.32;0.34;0.29;0.31;0.31;0.28;0.37;0.32;0.24
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Goriška";0.20;0.24;0.25;0.20;0.18;0.21;0.21;0.23;0.25;0.22;0.16
"Delež obsojenih oseb med prebivalci regije po regiji stalnega prebivališèa [%]";"Obalno-kraška";0.33;0.56;0.44;0.43;0.40;0.37;0.33;0.45;0.56;0.48;0.30
